id,color,codigo_color,codigo_tela,descripcion_tela,ancho_tela
131,TOBACCO,131,TE00007835,LYCRA VITA FY0427J RATTI RE'23 SWIM BEADED STRIPES BLACK - TERRACOTA 30 CM,1.46
132,JADE MIST,132,TE00003769,VISCOSE ART11251 DIS14317 COLNOIR BLACK,1.55
133,IVORY,133,TE00003651,ALGODON ACTION POPELINA BLANCO 00001 TINTU BEIGE,1.35
134,OLD ROSE,134,TE00000369,LANA ART W41362 KD COL MILITARYGREEN SHADE B,1.48
135,DIJON,135,TE00007818,LINEN LIK006 RATTI RE'23 SWIM BAMBARA TRIBAL BLACK - SALMO?N 31 CM,1.47
136,AZUL DENIM,136,TE00007826,LINEN LIK006 RATTI RE'23 SWIM MOLA PALM TREE ORANGE - BLUE 30CM,1.47
137,BURGUNDY,137,TE00004379,SATIN BATTI COL CAMEL OP F JO 44 CAMEL,1.50
138,BLUSH,138,TE00007819,LINEN LIK006 RATTI RE'23 SWIM BAMBARA TRIBAL BLACK ECRU- CHOCOLATE - BROWN 31 CM,1.47
139,TARTAN,139,TE00007869,LYCRA GEORGETTE 19MM 42 SAFRON RED,1.09
140,AVELLANA,140,TE00003124,COTTON POPLIN ACTION TC4778 R2 COL15010,1.35
141,KHAKI,141,TE00008161,SOLID LYCRA WITH LUREX METALLICA CAPRI 19 VAR 19,1.45
142,NEUTRAL,142,TE00007969,LINEN LIK006 RATTI RE'23 KASURI TRIBAL ANCIENT ECRU ORANGE 20CM,
143,PRINT,143,TEN0007181,SALPA ITALIANA 0.8 CAMEL,1.5
144,METALLIC,144,TE00006092,ORGANZA DE SEDA NUDE PV4000 110 SATIN FACE,1.39
145,NIGHTS IN CALI,145,TEN0007223,PONTI ROMA - CAMPOLEONE STILOTEX BLACK,1.61
146,SOFT GRAY,146,TE00005830,CREPE DE SEDA 16MM TERRACOTA PV1200/174 44 45,1.1
147,PALOSANTO,147,TE00008212,PRINTED WASHED CDC 16MM PREVIEW SS'23 FOSSIL SKIN HONEY MUSTARD/BLACK 70 CM,1.37
148,LEOPARD DUST,148,TE00000152,CREPE DE CHNE FRAMBUESA PV1200 170 16MM,1.1
149,DEEP CERULEAN,149,TE00007870,LYCRA GEORGETTE 19MM 42 FUSCHIA,1.09
150,CLASSIC LEOPARD,150,TE00005617,ALG.POPELINA BLANCO CM00021VY 100%COTTON,1.47
151,PISTACHIO,151,TE00000157,CREPE DE CHINA NUDE PV1200 #3 SHADE C 29107,1.4
152,CAFFE MOCHA,152,TE00007357,HAMMERED CHARMEUS PREVIEW PF22 RTW UNDERWATER FLORAL LIGHT GREEN/CAMEL 60CM,1.37
153,PERSIAN MAGENTA,153,TE00007813,VISCOSE SILK YANGON LISA RE'23 SWIM PALM DE JOUY RED TERRACOTA 130 CM,
154,MEN'S BLUE,154,TE00007782,COTTON POPLIN MANCHESTER LISA RE'23 SWIM BAMBARA TRIBAL ANTIQUE ECRU- BLACK 31 CM,1.48
155,POISON GREEN,155,TE00007811,VISCOSE SILK YANGON LISA RE'23 SWIM PALM DE JOUY BLACK ROSE 130 CM,
156,DESERT SPICE,156,TE00007810,VISCOSE SILK YANGON LISA RE'23 SWIM KUNA DOTS BLACK - ECRU 150 CM CORRECT,
157,LEOPARD BLUSH,157,TE00006797,TEJIDO DE PUNTO DICIOTTO 26762 999 NEGRO,1.35
158,MYSTIC GRAY,158,TE00000576,ALGODON POPELINA STRETCH BLANCO CM0096WHT,1.32
159,INDIGO,159,TE00007834,LYCRA VITA FY0427J RATTI RE'23 SWIM BEADED STRIPES BLACK - LILA 30 CM,1.46
160,DIJON MUSTARD,160,TE00007901,SUSTAINABLE JACQUARD 247413 RE' 23 RTW CANEPA MAROON - MUSTARD,
161,LEOPARD,161,TE00004239,TEJIDO DE PUNTO DICIOTTO 26762 648 DARK GREEN,1.35
162,SLATEBLUE,162,TE00007833,LYCRA VITA FY0427J RATTI RE'23 SWIM KUNA DOTS BLACK - ECRU 150 CM CORRECT,1.46
163,CHILI PEPPER,163,TE00007895,COTTON SATIN ECO HOUSE OF U - RE´23 RTW AFRICA LATINA BLACK-ECRU 25 CM,1.15
164,SANGRIA,164,TE00007930,JACQUARD RODI LISA RE´23 RTW AFRICA LATINA 25 CM GREEN-ECRU,1.44
165,SMOKE,165,TE00007770,LYCRA W0639EKO CLERICI RE'23 SWIM COCONUT WAX BROWN - LIGHT BLUE 15CM,
166,REDWOOD,166,TE00007814,VISCOSE SILK YANGON LISA RE'23 SWIM PALM DE JOUY CURCUMA JADE 130 CM,
167,PETAL,167,TE00007752,PRINTED JACQUARD RODI LISA FW22 #77 CONTORNO LEJANO MINI DRESS 950368/6001,1.44
168,TRUFFLE,168,TE00007827,LINEN LIK006 RATTI RE'23 SWIM MOLA PALM TREE ORANGE - GREEN 30C,1.47
169,MAPLE,169,TE00007609,SILK CDC 23MM PREVIEW FW'22 IKAT PALM TERRACOTA 50CM,1.37
170,TURMERIC,170,TE00004238,TEJIDO DE PUNTO DICIOTTO 26762 111 BROWN,1.35
171,ANISROSÉ,171,TE00008021,CRINKLED POLYESTER 35395EST CLERICI RE'23 SWIM - D11795 ANTIQUAIRE,
172,WASABI MIST,172,TE00007802,COTTON POPLIN MANCHESTER LISA RE'23 SWIM CARIBE TROPICAL 100cm,1.48
173,RUBY FIESTA,173,TE00007899,SUSTAINABLE JACQUARD 247413 RE' 23 RTW CANEPA- SAND - GREEN,
174,MARIGOLD,174,TE00007979,VISCOSE CDCS VK078N RATTI RE'23 TROPICAL KYOTO FUCSIA - DARK MAGENTA 60CM,
175,COCO DE MER,175,TE00007893,COTTON SATIN ECO HOUSE OF U - RE'23 CONGO BEATS ANTIQUE ECRU- GREEN- BLACK 60CM,1.15
176,MATCHA LATTE,176,TE00007738,PRINTED JACQUARD RODI #3 CONFLUENCE TOP 950183/6001 JO1,1.4
177,SOFT NUDE,177,TE00007786,COTTON POPLIN MANCHESTER LISA RE'23 SWIM BAMBARA TRIBAL GREEN KENTE JUNIPER ECRU BLACK 31 CM,1.48
178,AQUA,178,TE00008022,CRYNKLED POLYESTER 35395EST CLERICI RE'23 SWIM - D11796,
179,APRICOT,179,TE00007815,VISCOSE SILK YANGON LISA RE'23 SWIM Caribe Tropical 100cm,
180,VIOLET FOG,180,TE00007784,COTTON POPLIN MANCHESTER LISA RE'23 SWIM BAMBARA TRIBAL BLACK - SALMO?N 31 CM,1.48
181,HUSBAND BLUE,181,TE00007779,TECNO ROCKS KALIMO RE'23 SWIM KUNA DOTS ECRU - CHARCOAL 150 CM,1.47
182,POMEGRANATE,182,TE00007800,COTTON POPLIN MANCHESTER LISA RE'23 SWIM PALM DE JOUY ORANGE BLUE 130 CM,1.48
183,SANGRIA/ECRU,183,TE00007156,ALGODON POPLIN POLY 08500060008 STYLEM 004 NEGRO,1.4
184,CHILI PEPPER/ECRU,184,TEN0001997,LINO IVORY 06384 01 NAZDAROBIA,1.4
185,ANIS/CHILI PEPPER,185,TE00008060,COTTON VOILE ORO SEI LISA CARIBE TROPICAL PAREO - DIS950537 CENTRARE - JO1,1.45
186,CAMEL/VINOTINTO,186,TE00007894,COTTON SATIN ECO HOUSE OF U - RE'23 ORINOCO FLOW INDIGO-BLACK-ECRU 150CM,1.15
187,BLACK/ECRU,187,TE00007795,COTTON POPLIN MANCHESTER LISA RE'23 SWIM MOLA PALM GREEN -BLUE 90CM,1.48
188,AQUA/TRUFFLE,188,TE00007812,VISCOSE SILK YANGON LISA RE'23 SWIM PALM DE JOUY EMERALD - PALE GREEN 130 CM,
189,ECRU/COCODEMER,189,TE00008062,COTTON VOILE ORO SEI LISA RE'23 SWIM PAREO 4 COCONUT WAX TERRACOTA - BLACK - BLUE - DIS950535 - JO1,1.45
190,CAMPARI/CHESNUT,190,TEN0001829,LYCRA MALAGA NEGRO 384 9265,1.50
191,MILITARYGREEN/SOFTNUDE,191,TE00007728,PRINTED JACQUARD RODI #15 ARQUEOLOGIA SAGRADA MAXI DRESS 950208/6001 JO1,1.4
192,GOLD/MILITARYGREEN,192,TE00007892,POLY CREPPE LISA RE'23 SWIM Caribe Tropical 100cm (DIS950211-JO1),
193,BLUSH/SANGRIA,193,TE00007791,COTTON POPLIN MANCHESTER LISA RE'23 SWIM COCONUT WAX BROWN - LIGHT BLUE 120CM,1.48
194,TURMERIC/VIOLET FOG,194,TE00006607,PR LINEN 43003JULIA SAN JACINTO STRIPES CAFE 50CM,1.52
195,MILITARY GREEN/ECRU,195,TE00007799,COTTON POPLIN MANCHESTER LISA RE'23 SWIM PALM DE JOUY GREEN - ECRU 130 CM,1.48
196,CAMUFLAGE STRIPES,196,TEN0007777,LYCRA DORE ORO LUREX ARTE: 313906 RUBY,1.5
197,GOLD,197,TE00007823,LINEN LIK006 RATTI RE'23 SWIM COCONUT WAX BLACK- ECRU 120CM,1.47
198,VIOLET FOG/CHILI PEPPER,198,TE00007780,TECNO ROCKS KALIMO RE'23 SWIM COCONUT WAX BROWN - LIGHT BLUE 15CM,1.47
199,ANIS/TRUFFLE,199,TE00007086,GRPO GOTSMANCHESTER CARIFRAME ECRUGREEN 80CM,1.48
200,CHILI PEPPER/TRUFFLE,200,TE00006419,LINEN TWILL LIGHT ART82921F COL8635 NATURAL,1.60
201,FIESTA RUBY/ECRU,201,TE00006764,LIGHT POPLIN COTU001 PALM BLOCK YELLOW GREEN V31,1.40
202,TRUFFLE/PLUM,202,TE00007240,PRINTED LINEN 43003 JULIA PF’22 SWIM–ORNEMENTS EMBERA ECRU/WINE 30CM,
203,ECRU/MILITARY GREEN,203,TE00007415,ECO COTTON POPLIN MANCHESTER LISA PF’22 RTW IKAT WATERS CENEFA ECRU/BLACK 30CM,1.48
204,COCO DE MER/MILITARY GREEN,204,TEN0004810,SOLID LINEN FINO SK0011 COL 8345 WARM TAUPE,1.52
205,PITON,205,TE00007398,PRINTED JACQUARD RODI LISA PF’22 RTW UNDERWATER FLORALS LIGHT PINK/BLUE 50CM,1.4
206,COSMIC SAPHIRE,206,TE00007386,COTTON SATIN ECO 1905 HOUSE OF U PF’22 RTW HANGING PLANTS YELLOW/GREEN 50CM,1.3
207,APRICOT SORBET,207,TE00007423,PF'22 RTW UNDERWATER FLORALS BLACK/GREEN 60CM,
208,PINK DUSK,208,TE00006962,SILK CDC 16MM CARIBBEAN FRAME BLACKECRU 80CM,1.40
209,BITTERSWEET ROSE,209,TE00007154,DOUBLE GEORGETTE RECYCLED POLY AK 5088-G SAMUEL 100K SS'22 FLORAL CHARISMA TERRACOTA-RUST 150CM,
210,LYCHEE FIZZ,210,TE00007555,CDC 16MM BAREFOO T GLAM LONG SUN DRESSE (MYSTICAL IMPORTANCE) ECRU RED,1.1
211,COPPER CARAMEL,211,TE00007374,CDC 23MM PREVIEW PF’22 RTW IKAT WATERS CENEFA ECRU/MARSALA 30CM,1.37
212,TOASTED PETAL,212,TE00007424,LIGHT SHINY JERSEY VF0022J RATTI PF'22 RTW UNDERWATERS ECRU/LIGHT GREEN/RED 60CM,
213,HAVANA RUM,213,TE00006811,ENGRAVED JACQUARD ART.30893 SS'22 FLORAL CHARISMA ECRU- BLACK 150CM COL 600344/0100,
